,RPT_DT,ADDR_PCT_CD,BORO_NM,KY_CD,LAW_CAT_CD,OFNS_DESC,PD_DESC,Lat_Lng
441668,1/20/2018,43.0,BRONX,106,FELONY,FELONY ASSAULT,STRANGULATION 1ST,"[40.83896438, -73.86374690000001]"
441678,1/20/2018,69.0,BROOKLYN,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.65290209, -73.89402854]"
441679,1/20/2018,69.0,BROOKLYN,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.65290209, -73.89402854]"
441692,1/20/2018,50.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED","[40.88311992, -73.90332097]"
441697,1/20/2018,115.0,QUEENS,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.76077326, -73.87157756]"
441702,1/20/2018,108.0,QUEENS,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.743680100000006, -73.90704913]"
441703,1/20/2018,122.0,STATEN ISLAND,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.54101986, -74.14710414]"
441706,1/20/2018,47.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED","[40.88248482, -73.83087543]"
441708,1/20/2018,23.0,MANHATTAN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED","[40.78756729999999, -73.94313233]"
441711,1/20/2018,69.0,BROOKLYN,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.64929346, -73.89791187]"
441712,1/20/2018,69.0,BROOKLYN,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.64929346, -73.89791187]"
441713,1/20/2018,104.0,QUEENS,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED","[40.70502541, -73.91019399]"
441716,1/20/2018,123.0,STATEN ISLAND,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.53170384, -74.22225089]"
441728,1/20/2018,103.0,QUEENS,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.71634083, -73.76255181]"
441733,1/20/2018,66.0,BROOKLYN,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.63214534, -73.99534664]"
441735,1/20/2018,67.0,BROOKLYN,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.65227354, -73.91016409]"
441736,1/20/2018,7.0,MANHATTAN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.71854052, -73.9775306]"
441753,1/20/2018,84.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.68820891, -73.98205891]"
441755,1/20/2018,106.0,QUEENS,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.6866061, -73.82324131]"
441756,1/20/2018,84.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.68820891, -73.98205891]"
441760,1/20/2018,48.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.84087681, -73.87280713]"
441772,1/20/2018,104.0,QUEENS,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.70302385, -73.89638334]"
441775,1/20/2018,47.0,BRONX,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.86922573, -73.83697258]"
441777,1/20/2018,47.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.86922573, -73.83697258]"
441785,1/20/2018,32.0,MANHATTAN,106,FELONY,FELONY ASSAULT,STRANGULATION 1ST,"[40.81756739, -73.938233]"
441787,1/20/2018,45.0,BRONX,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.83949924, -73.84600458]"
441794,1/20/2018,75.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.68177688, -73.88513844]"
441803,1/20/2018,105.0,QUEENS,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.66020221, -73.75877608]"
