,RPT_DT,ADDR_PCT_CD,BORO_NM,KY_CD,LAW_CAT_CD,OFNS_DESC,PD_DESC,Lat_Lng
78548,10/27/2018,75.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.67110691, -73.88143296]"
78551,10/27/2018,61.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.59414517, -73.96041495]"
78570,10/27/2018,73.0,BROOKLYN,116,FELONY,SEX CRIMES,OBSCENITY 1,"[40.67065507, -73.91339092]"
78612,10/27/2018,24.0,MANHATTAN,104,FELONY,RAPE,RAPE 1,"[40.79657114, -73.96718569]"
78620,10/27/2018,49.0,BRONX,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.85616296, -73.84439712]"
78690,10/27/2018,115.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.75686098, -73.87565666]"
78743,10/27/2018,72.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.65819343, -74.00103224]"
78778,10/27/2018,9.0,MANHATTAN,116,FELONY,SEX CRIMES,AGGRAVATED SEXUAL ASBUSE,"[40.72655402, -73.98782843]"
78804,10/27/2018,102.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"SEXUAL MISCONDUCT,INTERCOURSE","[40.69873677, -73.83156876]"
78810,10/27/2018,110.0,QUEENS,116,FELONY,SEX CRIMES,SEXUAL ABUSE,"[40.74525274, -73.87006287]"
78845,10/27/2018,79.0,BROOKLYN,116,FELONY,SEX CRIMES,SEXUAL ABUSE,"[40.68887215, -73.94452903]"
78886,10/27/2018,73.0,BROOKLYN,104,FELONY,RAPE,RAPE 3,"[40.67065507, -73.91339092]"
78952,10/27/2018,78.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.68057972, -73.97431656]"
79005,10/27/2018,28.0,MANHATTAN,116,FELONY,SEX CRIMES,SODOMY 1,"[40.8087499, -73.95258581]"
79006,10/27/2018,121.0,STATEN ISLAND,116,FELONY,SEX CRIMES,SODOMY 1,"[40.62368882, -74.15065813]"
79007,10/27/2018,83.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.69796352, -73.91808336]"
79068,10/26/2018,115.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.75686098, -73.87565666]"
79069,10/26/2018,115.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.75686098, -73.87565666]"
79070,10/26/2018,33.0,MANHATTAN,116,FELONY,SEX CRIMES,SODOMY 1,"[40.8399082, -73.93608359]"
79126,10/26/2018,13.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.73669807, -73.98331603]"
79190,10/26/2018,110.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.74525274, -73.87006287]"
79276,10/26/2018,23.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.78926022, -73.94771]"
79298,10/26/2018,13.0,MANHATTAN,116,FELONY,SEX CRIMES,OBSCENE MATERIAL - UNDER 17 YE,"[40.73669807, -73.98331603]"
79358,10/26/2018,67.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.64865009, -73.95033556]"
79472,10/26/2018,115.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.75686098, -73.87565666]"
79618,10/26/2018,14.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.75393894, -73.99484365]"
